"(0, 0)","(1, 0)","(2, 0)","(0, 1)","(1, 1)","(0, 2)","(1, 2)","(2, 2)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4431040000000002,-1.195832,-0.326872,1.4336000000000002,-1.357568,1.4336000000000002,-1.2554,1.8118
1.967418296,-1.5405919760000002,-0.54563032,1.9504655360000003,-1.739571776,1.9530530000000002,-1.5538992560000002,2.4900292
2.400451096112,-1.783391835368,-0.7746752207440001,2.379073772672,-1.999270362752,2.3842849251680005,-1.737875708792,3.0647799908560005
2.76224613493436,-1.9554945219500242,-1.0027914133843363,2.7387578057027837,-2.174845796029376,2.748220940377448,-1.843964700613208,3.5586692766822887
3.0675673485534625,-2.078565643950967,-1.2230811069984961,3.0435262278256805,-2.292924372426752,3.0586175498532646,-1.898095738966352,3.988221820163212
3.3274245088099894,-2.1676198520952243,-1.431543265086806,3.3038229237388363,-2.371914406324672,3.325364431715743,-1.9183590053303567,4.365594163607753
3.550140871992273,-2.2330626797308226,-1.6260994145497716,3.5275791542015136,-2.4244959796354157,3.5559212928133115,-1.9171513088721142,4.699826858246802
3.742102311651764,-2.2821055380600037,-1.805927783657198,3.720916804899924,-2.4593804080647677,3.7560809185377777,-1.9028817489162981,4.9977477511195625
3.9082847114137813,-2.319746307872061,-1.971010103506504,3.888637134114877,-2.4825354828568424,3.9304328272732665,-1.8812002448912195,5.264607953104817
4.0526267933903455,-2.349448889651852,-2.121824886703629,4.034565554914261,-2.498035012360127,4.082674635874806,-1.855859065165189,5.5045268619721615
4.1782950328352655,-2.3736141318422814,-2.2591414141284663,4.161796944078013,-2.5086469968914074,4.215830660992347,-1.8293107815023708,5.720803386565842
4.287873075203836,-2.3939061841671143,-2.3838827990408498,4.272871510777004,-2.5162405476476133,4.332408647779293,-1.803121650829734,5.91613405006143
4.383498197774074,-2.411478660520219,-2.497036286177942,4.369901940911248,-2.5220672325105453,4.434513649233394,-1.7782567866506778,6.092766395172592
4.466960506825199,-2.4271313698839965,-2.5995957183760483,4.454666208768737,-2.526955463000344,4.523931766597397,-1.7552765237521593,6.252607436220362
4.539775805962736,-2.4414189308916594,-2.6925257906915747,4.5286760852366275,-2.5314446811170543,4.602192506386519,-1.734471345617314,6.39730084982088
4.6032397689545235,-2.4547260417543493,-2.7767409536644676,4.593228347330325,-2.5358778842583565,4.670615854423561,-1.715954345180175,6.52828239397429
4.658468756004799,-2.4673196423557293,-2.8530940678487213,4.649443592856108,-2.5404653292253196,4.730348340500712,-1.699724357741231,6.646820132858255
4.706431017007059,-2.4793850626182863,-2.9223714590464285,4.698296102855249,-2.5453283086462895,4.782391099835226,-1.6857088618839153,6.754044026960323
4.747970914954079,-2.491051073355581,-2.9852920912095784,4.740637177096278,-2.550529157966996,4.827622055018537,-1.673792942895102,6.850968050695141
5.699765165756617,3.861276521742696,-3.0425093095299367,5.502568348287541,4.142265086651434,4.866813726360472,5.807758808165204,7.7824583701881895
6.623245029169612,5.9065646305102595,-2.4646094191386467,6.204125442163325,6.115268629504615,6.214816812761775,7.9487593947758945,8.704633786486308
7.5155197397642945,7.035771555843806,-1.7472170940320186,6.984635472544562,7.085344428696684,7.115861394739584,9.086408733300928,9.617587448621446
8.387806999911898,7.95028211636283,-0.9962290467539917,7.780338026571178,7.927927142880622,7.9358560369313045,10.01813282234595,10.521411574135232
9.24378950155205,8.815085860595326,-0.23656215113788653,8.57807035769185,8.740900795976541,8.73947261411282,10.909617903272535,11.416197458393881
10.08544541129437,9.659123964229838,0.5259166235350804,9.374174672742768,9.546577395914863,9.539091684513096,11.787029738273613,12.302035483809945
10.914175154064818,10.489037200399466,1.2888449840285106,10.167175513297213,10.347515557360115,10.335632361668157,12.655239209462138,13.179015128971848
11.731080438088176,11.306845445037533,2.05077556360895,10.956133950588956,11.143686371107691,11.128499292073291,13.515052704061105,14.047224977682127
12.537049931444871,12.113618356764212,2.81061872623429,11.740356482152439,11.93462600562722,11.91696973648376,14.366617350765955,14.906752727905307
13.332806780650472,12.91011973758109,3.5675095023944094,12.519310280989668,12.719905668910219,12.700437455502456,15.209971252783927,15.757685200626256
14.11894255937755,13.696955485517813,4.320752820653947,13.292584921922957,13.499182750589956,13.47842420466417,16.045144494143713,16.60010834861999
14.895943727675768,14.474620192401687,5.069789356268931,14.059866567803113,14.272195156149474,14.250560559344962,16.872174209335668,17.43410726513379
15.664212651571619,15.243522151825774,5.814169715483385,14.820918246115118,15.038746967472063,15.016565063799447,17.691105521168993,18.259766192482452
16.424084378915712,16.00400106285521,6.553533909526447,15.575564244744909,15.798695390549657,15.77622663883505,18.50199022082157,19.07716853055763
17.175840041843646,16.756341776988325,7.28759481861073,16.32367767259529,16.551940018921968,16.529390350943974,19.304885351727396,19.88639684525205
17.919717566869622,17.500785210935287,8.016124819304006,17.065170525581447,17.29841420243833,17.27594601125994,20.099852013133912,20.687532876799533
18.655920234113395,18.23753705488473,8.738944949882463,17.799985750495335,18.038078141443357,18.015819060675497,20.88695439376688,21.480657548031534
19.384623517894074,18.96677472985429,9.455916118778864,18.528090904576406,18.770913367808816,18.7489632863821,21.666258999026788,22.265850972551217
20.10598055399668,19.68865294784075,10.166931960087544,19.249473090047854,19.49691833558374,19.475355002679994,22.437834034577286,23.043192462825704
20.82012650952578,20.403308155824398,10.871913018274237,19.96413490742889,20.216104898577285,20.19498840200637,23.2017489152039,23.812760538197452
21.52718207582293,21.110862087930183,11.570802006708963,20.672091222925367,20.928495496715485,20.907871841087502,23.95807387381672,24.57463293281548
22.22725626062784,21.81142460493168,12.263559934682776,21.37336658633102,21.634120908769834,21.614024874332408,24.706879650472548,25.328886603487323
22.92044862026618,22.505095964273696,12.950162937690592,22.067993168735235,22.333018457659186,22.31347588432986,25.448237245326958,26.07559773745245
23.606851044361953,23.191968635022167,13.630599677945415,22.75600911559331,23.02523057738877,23.00626018947433,26.182217722657967,26.814841760077925
24.286549182970237,23.87212874916335,14.304869207916562,23.4374572316997,23.71080366896024,23.692418532851004,26.908892055686344,27.54669334247715
24.959623587964753,24.545657262306662,14.97297921042083,24.112383931372467,24.389787187186283,24.37199587577136,27.628331003981916,28.271226409052378
25.62615062608247,25.21263088216789,15.634944545453319,24.780838400556867,25.062232912009563,25.045040434742567,28.340605016895136,28.988514144961854
26.286203209494616,25.873122811480886,16.29078604733353,25.44287192826272,25.72819436724828,25.711602912953172,29.045784157771354,29.698629003512238
26.939851380557712,26.527203342613923,16.940529526510783,26.098537373306403,26.387726357140046,26.3717358871858,29.743938044758636,30.40164271347712
27.587162780034255,27.174940333677352,17.58420493903989,26.74788873916528,27.040884597008553,27.02549331892117,30.435135804861847,31.09762628634235
28.228203022187884,27.816399589925037,18.2218456937186,27.39098083521549,27.687725419134285,27.672930164673424,31.119446038568316,31.786650023478927
28.86303599545574,28.45164516946968,18.853488072505854,28.02786900698994,28.32830553871151,28.3141020656116,31.79693679290787,32.46878352324414
29.491724103643072,29.080739628510887,19.479170744380216,28.658608921581703,28.962681867811412,28.94906510052946,32.467675541239686,33.1440956880117
30.114328459582566,29.703744218221225,20.098934356465353,29.28325639710579,29.59091136769802,29.577875589427858,33.13172916840133,33.81265473113159
30.73090904080154,30.320719042995396,20.712821189214534,29.90186726735982,30.213050931783425,30.20058993753288,33.789163960130054,34.47452818382027
31.341524814822797,30.931723187817923,21.320874864846697,30.514497274604086,30.829157293058397,30.81726451161761,34.44004559588509,35.12978290198207
31.94623384019292,31.536814820946418,21.923140100172382,31.12120198480404,31.439286951073036,31.427955542129205,35.0844391443752,35.77848507296225
32.5450933481075,32.13605127686272,22.51966249652729,31.72203672081469,32.04349611453164,32.03271904592874,35.72240906123548,36.42070022223263
33.13815980852444,32.729489123449184,23.110488360815225,32.31705650989482,32.641840656356955,32.63161076549449,36.35401918840919,37.0564932200103
33.72548898387487,33.31718421655217,23.695664552707836,32.90631604266457,33.23437607871068,33.224686121273166,36.97933275488001,37.6859282878102
34.3071359728563,33.89919174445993,24.275238353901347,33.489869641199995,33.821157485962125,33.8120001745295,37.59841237847116,38.3090690049321
34.88315524629377,34.475566264313976,24.849257356027636,34.06777123442159,34.402239564000574,34.39360759857747,38.211320068485115,38.92597831488277
35.45360067665548,35.04636173206781,25.41776936438771,34.64007433930415,34.97767656460901,34.9695626567011,38.818117229003235,39.536718531733946
36.01852556249114,35.61163152728214,25.980822315144163,35.20683204673119,35.54752229387493,35.539919185413616,39.4188646627009,40.14135134641661
36.577982648806,36.171428473787536,26.538464203994383,35.768097011053676,36.11183010381943,36.10473058197444,40.01362257506297,40.73993783295245
37.13202414418046,36.72580485703744,27.09074302466396,36.32392144260177,36.670652886590716,36.66404979530122,40.6024505789077,41.33253845462293
37.68070173528236,37.27481243881011,27.637706715822297,36.87435710254929,37.224043070699175,37.217929319587284,41.185407699145706,41.9192130700767
38.22406659928896,37.81850246978505,28.17940311523987,37.41945529965113,37.772052618876664,37.7664211900736,41.762552377715394,42.50002093937594
38.76216941463193,38.356925700414365,28.715879920187447,37.95926688847059,38.31473302722625,38.30957698053481,42.33394247864836,43.075020729982185
39.29506037039564,38.89013239042491,29.24718465322804,38.49384226879022,38.85213532539592,38.84744780212784,42.899635293227476,43.644270522682355
39.822789174632746,39.41817231721961,29.773364632678252,39.02323138596168,39.38431007756344,39.38008430332203,43.45968754520814,44.20782781745553
40.34540506180798,39.94109478339266,30.294466947121066,39.547483731999165,39.91130738406199,39.907536670686135,44.01415539607917,44.76574953928098
40.862956799538836,40.458948623529935,30.810538433440747,40.066648347260255,40.433176883511045,40.4298546303531,44.56309445034451,45.318092043888164
41.375492694767864,40.97178221043181,31.321625657925168,40.58077382258942,40.949967755343685,40.94708745001918,45.10655976081112,45.86491112344929
41.88306059947452,41.47964346086792,31.827774900044076,41.08990830182474,41.461728722643876,41.459283941363026,45.64460583387116,46.406262012214796
42.38570791601245,41.98257984095149,32.329032138565196,41.594099484588114,41.96850805522437,41.96649246279338,46.177286634769104,46.94219939209264
42.88348160214132,42.480638371203284,32.82544303971579,42.09339462929556,42.470353572890126,42.46876092245247,46.70465559284673,47.472777398171715
43.37642817580818,42.97386563136118,33.3170529471359,42.58784055633687,42.967312648843034,42.96613678141671,47.22676560675995,47.99804962419
43.86459371972244,43.4623077649803,33.803906873402845,43.07748365138407,43.4594322131928,43.45866705704829,47.743669049663175,48.51806912794811
44.34802388575972,43.94601048385932,34.28604949293499,43.56236986879649,43.94675875654589,43.946398326460624,48.25541777435765,49.032888436668635
44.82676389922277,44.42501907232182,34.763525136107155,44.04254473509664,44.42933833365031,44.42937673006783,48.76206311840102,49.54255955230195
45.30085856298206,44.89937839137568,35.23637778443134,44.51805335249631,44.9072165670781,44.907647975194955,49.26365590917623,50.04713395677894
45.77035226151415,45.36913288276871,35.70465106667452,44.988940402456606,45.38043865093172,45.38125733972983,49.76024646891811,50.54666261721116
46.235288964852316,45.83432657295555,36.1683882558011,45.45525014926879,45.84904935456263,45.850249675801784,50.251884619696376,51.04119599103905
46.69571223246103,46.295003076987335,36.62763226664138,45.91702644364564,46.31309302629343,46.3146694134752,50.73861968835456,51.530784031128654
47.1516652170437,46.75120560233393,37.08242565419922,46.37431272631503,46.77261359713619,46.77456056444849,51.22050051140404,52.01547619081737
47.60319066829113,47.202976952646154,37.53281061252256,46.82715203160924,47.22765458450157,47.22996672575091,51.69757543987284,52.4953214289092
48.050330936576714,47.650359531464204,37.97882897406958,47.275586991044676,47.67825909589389,47.68093108343126,52.16989234410916,52.97036821462012
48.49312797660328,48.09339534587721,38.420522209510956,47.71965983688817,48.12446983258914,48.12749641623388,52.637498618539446,53.44066453247393
48.93162335100546,48.53212601013798,38.85793142791611,48.15941240570631,48.56632909329268,48.56970509925799,53.10044118638109,53.9062578871492
49.3658582339108,48.96659274923597,39.29109737727691,48.594886141895486,49.0038787777748,49.00759910759767,53.55876650430987,54.367195308277715
49.79587341446218,49.396836402431425,39.720060445328095,49.026122101190566,49.43716039048227,49.44122001996008,54.01252056708233,54.823523355194936
50.221709300303665,49.8228974267525,40.14486066062804,49.45316095415073,49.8662150441248,49.870609022260126,54.46174891211328,55.27528812164299
50.64340592103149,50.244815900457354,40.56553769386809,49.8760429896212,50.2910834632351,50.295806911190354,54.906496624008824,55.722535240426566
51.061002931611554,50.6626315264625,40.98213085938175,50.294808118169954,50.71180598770214,50.7168540977647,55.34680833905499,56.16530988802231
51.474539615764726,51.07638363573865,41.394679116828925,50.70949587549886,51.12842257627684,51.13379061083576,55.78272824966263,56.60365678914209
51.88405488932076,51.486111190675196,41.803221073032695,51.12014542582855,51.54097281004983,51.54665610058444,56.21430010876855,57.03762022125068
52.28958730354182,51.89185278841382,42.207794983948986,51.526795565256826,51.949495895901144,51.95548984198216,56.64156723419356,57.467244019038176
52.69117504841619,52.293646664152305,42.60843875675152,51.929484725090276,52.354030669921535,52.360330738224796,57.06457251295761,57.89257157884779
53.08885595592277,52.69153069441894,43.005189952016686,52.32825097514896,52.75461560080539,52.76121732413856,57.48335840555249,58.313645863059314
53.48266750326693,53.08554240031803,43.39808578599435,52.72313202704406,53.15128879321515,53.158187769557394,57.89796695017241,58.73050940442873
53.872646816088206,53.4757189507472,43.78716313295245,53.11416523742851,53.54408799111745,53.55127988267215,58.30843976690292,59.14320431038445
54.25883067164001,53.86209716558646,44.17245852758461,53.50138761122066,53.93305058109074,53.94053111335131,58.714818061868506,59.55177226728061
54.6412555019421,54.24471351885993,44.55400816747095,53.8848358048009,54.3182135956048,54.325978556433526,59.117142631339206,59.9562545446078
55.0199573969057,54.623604141870146,44.93184791558375,54.26454612918151,54.69961371627203,54.70765895499182,59.515453865796836,60.356691999161725
55.39497210743195,54.99880482630539,45.30601330283027,54.64055455314961,55.077287277070795,55.08560870356985,59.90979175396092,60.75312507917012
55.76633504848368,55.370351027320346,45.676539530626,55.01289670638367,55.451270267540856,55.45986385139004,60.30019588677488,61.145593828378416
56.13408130213095,55.738277866590344,46.04346147349248,55.38160788254337,55.82159833595131,55.8304601055342,60.68670546135297,61.534137890094634
56.49824562057047,56.102620135339336,46.40681368167425,55.7467230423332,56.18830679244075,56.19743283409618,61.06935928488808,61.9187965111937
56.85886242911928,56.46341229734204,46.766630383770355,56.10827681653989,56.5514306121304,56.56081706930733,61.44819577852096,62.29960854608177
57.21596582918272,56.82068849190024,47.12294548937626,56.46630350904384,56.911004438210036,56.920647510634595,61.82325298117125,62.67661246062096
57.569589601197144,57.17448253679363,47.47579259173237,56.820837099804635,57.2670625849968,57.2769585278515,62.19456855333054,63.04984633601475
57.91976720754732,57.524827931205394,47.82520497037611,57.17191124782109,57.61963904096757,57.629784164082295,62.5621797808181,63.419347872654605
58.26653179545896,57.8717578586226,48.17121559379446,57.519559294065644,57.968767471764636,57.97915813881944,62.92612357849923,63.78515439392807
58.60991619986644,58.215305189711835,48.513857122074505,57.863814264393554,58.31448122317505,58.32511385091455,63.28643649396716,64.14730284998879
58.94995294625596,58.555502485170024,48.853161909549854,58.20470887242702,58.65681332408392,58.66768438154298,63.64315471118821,64.5058298214889
59.28667425348434,58.89238199855087,49.18916200744076,58.54227552241429,58.99579648940167,59.00690249714259,63.99631405411115,64.86077152327401
59.620112036573566,59.225975679066906,49.52188916648626,58.87654631206419,59.331463122965665,59.34280065232625,64.34594999024078,65.21216380804127
59.9502979094814,59.5563151743675,49.851374839566894,59.20755303535593,59.6638453204163,59.675410992768974,64.69209763417612,65.56004216996085
60.27726318784816,59.88343183329287,50.17765018431649,59.53532718532469,59.992974872047725,60.00476535806947,65.03479175111364,65.90444174826125
60.60103889171986,60.20735670860447,50.500746065721984,59.859899956823,60.318883265633396,60.33089528458628,65.37406676031588,66.24539733077864
60.92165574824788,60.528120559691686,50.820693058710134,60.18130224925813,60.64160168922694,60.65383200824914,65.70995673854567,66.58294335747085
61.23914419436542,60.845753855255275,51.137521450720214,60.49956466930565,60.96116103393794,60.973606467345135,66.0424954234664,66.91711392389614
61.553534379440855,61.16028677596754,51.451261244261985,60.81471753359943,61.27759189668352,61.290249305280426,66.37171621700878,67.2479427846572
61.86485616790816,61.47174921710962,51.761942159458215,61.12679087139816,61.590924582915406,61.60379087331739,66.69765218870404,67.57546335681063
62.1731391418746,61.78017079118575,52.06959363657113,61.435814427228664,61.90118910932289,61.91426123328746,67.02033607898434,67.89970872324253
62.47841260370591,62.08558083051504,52.37424483851227,61.741817663506154,62.208415206511944,62.22169016028002,67.3398003024505,68.2207116360101
62.78070557858908,62.38800838980076,52.67592465333542,62.04482976313148,62.51263232166047,62.5261071453072,67.65607695110728,68.53850451964999
63.08004681707288,62.68748224867721,52.97466169671214,62.344879632065876,62.81386962115004,62.827541397945176,67.9691977975668,68.8531194744535
63.376464797586465,62.98403091423462,53.27048431438956,62.641995901882964,63.11215599317433,63.126021848951865,68.27919429822013,69.16458827970897
63.66998772893596,63.27768262352197,53.56342058463033,62.9362069322986,63.40752005032433,63.42157715286134,68.58609759637756,69.47294239691188
63.96064355277951,63.56846534602807,53.8534983206343,63.22754081367843,63.69999013215055,63.71423569055515,68.88993852537769,69.77821297294275
64.2484599460807,63.85640678614105,54.14074507294194,63.51602536952345,63.98959430770249,64.00402557181067,69.19074761166596,70.08043084321332
64.53346432354073,64.14153438558643,54.425188131819226,63.801688158933814,64.27636037804547,64.29097463782676,69.48855507784242,70.37962653478118
64.81568384000924,64.42387532584382,54.70685452962399,64.08455647905096,64.56031587875503,64.57511046372684,69.78339084567959,70.67583026943336
65.09514539287427,64.70345653054261,54.98577104315351,64.36465736747823,64.84148808238919,64.85646036103961,70.07528453911024,70.96907196673902
65.37187562443134,64.98030466783668,55.2619641959735,64.64201760468023,65.11990400093839,65.13505138015759,70.36426548718575,71.25938124707163
65.64590092423167,65.25444615275835,55.53546026072822,64.91666371636106,65.39559038825396,65.41091031277375,70.65036272700503,71.54678743460093
65.91724743141017,65.52590714955171,55.80628526143193,65.18862197582149,65.66857374245454,65.68406369429606,70.93360500661458,71.83131956025493
66.1859410369928,65.79471357398548,56.07446497574148,65.45791840629555,65.9388803083111,65.95453780624078,71.21402078787975,72.11300636465238
66.45200738618385,66.06089109564566,56.34002493721022,65.72457878326621,66.20653607961074,66.22235867860401,71.49163824932758,72.39187630100585
66.71547188063317,66.32446514020799,56.60299043752323,65.98862863676084,66.4715668014992,66.48755209221207,71.76648528896152,72.6679575379958
66.97635968068349,66.58546089169049,56.8633865287138,66.25009325362628,66.73399797280237,66.75014358105076,72.03858952704827,72.94127796261586
67.234695707598,66.84390329468613,57.12123802536136,66.5089976797837,66.99385484832716,67.01015843457382,72.30797830887697,73.2118651829897
67.4905046457684,67.09981705657592,57.376569506770906,66.7653667224637,67.25116244114145,67.26762169999031,72.57467870749106,73.4797465311598
67.74381094490356,67.3532266497226,57.6294053191339,67.01922495242135,67.50594552483388,67.5225581845319,72.8387175263932,73.7449490658482
67.9946388221988,67.60415631364471,57.87976957767084,67.27059670613183,67.75822863575317,67.77499245769928,73.10012130222326,74.00749957518973
68.24301226448617,67.85263005717184,58.127686168755545,67.5195060879663,68.00803607522732,68.02494885348874,73.35891630740994,74.26742457943784
68.48895503036584,68.09867166058056,58.37317875202121,67.76597697234884,68.25539191176293,68.27245147259829,73.61512855279587,74.52475033364348
68.7324906523185,68.34230467771175,58.61627076244837,68.01003300589373,68.50031998322456,68.5175241846143,73.86878379023696,74.77950283030705
68.97364243879926,68.58355243806895,58.856985412434966,68.25169760952419,68.74284389899476,68.76019063017812,74.11990751517588,75.03170780200398
